      2 0.58615 1.0008 0.33951 1.0186 0.51207 0.62506 0.30796 0.019946 -0.026975 0.0089817 0.48883 0.82404 
   2.05 0.60997 1.0016 0.33885 1.0189 0.54977 0.68425 0.62179 0.012644 0.0032742 0.0056364 0.99163 1.4751 
    2.1 0.64547 1.002 0.33998 1.0191 0.6075 0.76477 0.76601 0.0024013 0.042402 0.00056515 1.2707 1.6634 
   2.15 0.68324 1.0019 0.34304 1.019 0.67146 0.8428 0.71186 -0.007921 0.078364 -0.0050178 1.23 1.3886 
    2.2 0.71374 1.0013 0.3476 1.0186 0.72486 0.89803 0.48372 -0.015674 0.10141 -0.009643 0.85497 0.77941 
   2.25 0.72981 1.0004 0.35287 1.018 0.75305 0.91825 0.14867 -0.019057 0.10625 -0.01204 0.24823 0.020097 
    2.3 0.72833 0.99946 0.35791 1.0174 0.749 0.90057 -0.20298 -0.017433 0.092372 -0.011611 -0.39897 -0.70813 
   2.35 0.71076 0.99873 0.36186 1.0169 0.71588 0.8506 -0.48061 -0.0114 0.063443 -0.0086484 -0.88495 -1.2472 
    2.4 0.68267 0.99837 0.36412 1.0166 0.66543 0.78114 -0.61543 -0.0026342 0.026448 -0.0041938 -1.0793 -1.4707 
   2.45 0.65212 0.99847 0.36452 1.0165 0.61318 0.70996 -0.57767 0.0064863 -0.0095402 0.00038963 -0.96304 -1.3121 
    2.5 0.62752 0.99898 0.36334 1.0166 0.57309 0.65581 -0.38421 0.013511 -0.035433 0.0038837 -0.61044 -0.80482 
   2.55 0.61534 0.99975 0.36125 1.0169 0.55418 0.63292 -0.093179 0.016621 -0.044793 0.0055079 -0.13527 -0.093278 
    2.6 0.61846 1.0006 0.35916 1.0171 0.55973 0.64633 0.21335 0.015154 -0.035999 0.0049884 0.35025 0.60951 
   2.65 0.63555 1.0012 0.3579 1.0173 0.58767 0.69028 0.45307 0.0097381 -0.012759 0.0025188 0.74421 1.0994 
    2.7 0.66163 1.0015 0.358 1.0174 0.63107 0.75061 0.56599 0.0020367 0.017305 -0.0012824 0.95409 1.2537 
   2.75 0.68963 1.0014 0.35959 1.0172 0.67891 0.80984 0.52905 -0.0057959 0.045327 -0.0054476 0.91581 1.0628 
    2.8 0.71231 1.001 0.36238 1.0168 0.71845 0.85255 0.35956 -0.011729 0.0639 -0.008862 0.62861 0.61292 
   2.85 0.7242 1.0003 0.36575 1.0163 0.73892 0.86907 0.10785 -0.014355 0.068781 -0.010592 0.17277 0.03923 
    2.9 0.72287 0.99958 0.36901 1.0158 0.73524 0.85679 -0.15741 -0.013164 0.059383 -0.010203 -0.31194 -0.51585 
   2.95 0.7094 0.99903 0.3715 1.0154 0.70971 0.81993 -0.36713 -0.0086135 0.038466 -0.0079121 -0.67943 -0.92521 
      3 0.68797 0.99876 0.37276 1.015 0.67092 0.76835 -0.46903 -0.0019947 0.011418 -0.0044785 -0.83252 -1.0917 
   3.05 0.66468 0.99883 0.37265 1.0149 0.6304 0.71561 -0.44068 0.0048852 -0.01485 -0.00091673 -0.75152 -0.97008 
    3.1 0.64588 0.99922 0.3714 1.0149 0.59888 0.67568 -0.2949 0.010183 -0.033558 0.0018382 -0.48502 -0.59083 
   3.15 0.63643 0.9998 0.3695 1.0151 0.58359 0.65904 -0.075441 0.01254 -0.039986 0.0031594 -0.11729 -0.062448 
    3.2 0.63853 1.0004 0.36763 1.0152 0.58731 0.66933 0.15602 0.011455 -0.032964 0.002814 0.2606 0.45958 
   3.25 0.65119 1.0009 0.36639 1.0153 0.6084 0.70238 0.33753 0.0073916 -0.015201 0.00095678 0.56366 0.82657 
    3.3 0.67068 1.0011 0.36619 1.0153 0.64122 0.74782 0.42367 0.0015878 0.0077184 -0.0019123 0.71982 0.9468 
   3.35 0.69166 1.0011 0.36714 1.0151 0.67717 0.79271 0.39666 -0.0043362 0.029221 -0.0050367 0.68533 0.80895 
    3.4 0.70866 1.0007 0.369 1.0148 0.70663 0.82539 0.26923 -0.0088381 0.043696 -0.007574 0.46549 0.47247 
   3.45 0.71753 1.0002 0.37133 1.0144 0.72165 0.83832 0.079346 -0.010836 0.047827 -0.0088364 0.12275 0.037659 
    3.5 0.71642 0.99968 0.3736 1.014 0.71856 0.82936 -0.12092 -0.0099376 0.041085 -0.0085113 -0.2402 -0.3848 
   3.55 0.70615 0.99926 0.37529 1.0136 0.69908 0.80173 -0.27916 -0.0064934 0.025571 -0.0067586 -0.51702 -0.6947 
    3.6 0.68988 0.99906 0.37608 1.0133 0.66953 0.76303 -0.35586 -0.0014927 0.0054381 -0.0041382 -0.63556 -0.81792 
   3.65 0.67221 0.99911 0.37585 1.0132 0.63849 0.72359 -0.33426 0.003695 -0.014051 -0.0014053 -0.57805 -0.72362 
    3.7 0.65794 0.99941 0.37477 1.0131 0.61413 0.69389 -0.22416 0.0076861 -0.027824 0.00072777 -0.37704 -0.43804 
   3.75 0.65073 0.99984 0.37322 1.0132 0.60214 0.68163 -0.058541 0.0094643 -0.032405 0.0017685 -0.09503 -0.043211 
    3.8 0.65224 1.0003 0.3717 1.0133 0.60478 0.68948 0.11622 0.0086548 -0.026956 0.0015269 0.19601 0.34652 
